订单号,商品编码   ,商品名称              ,销售数量,应收金额 ,实收金额
1  ,236701 ,强力VC银翘片           ,6   ,82.8 ,69
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,感康                ,2   ,16.8 ,
1  ,236701 ,三九感冒灵             ,1   ,28   ,28
1  ,236701 ,三九感冒灵             ,8   ,224  ,208
1  ,236701 ,三九感冒灵             ,1   ,28   ,28
1  ,236701 ,三九感冒灵             ,2   ,56   ,56
1  ,236701 ,三九感冒灵             ,5   ,149  ,131.12
1  ,236701 ,三九感冒灵             ,1   ,29.8 ,26.22
1  ,236701 ,三九感冒灵             ,4   ,119.2,104.89
1  ,236701 ,三九感冒灵             ,2   ,59.6 ,59.6
1  ,236701 ,三九感冒灵             ,3   ,84   ,84
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,5   ,140  ,112
1  ,236701 ,清热解毒口服液           ,    ,168  ,140
1  ,236701 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236701 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236701 ,清热解毒口服液           ,5   ,140  ,112
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236701 ,清热解毒口服液           ,6   ,     ,140
1  ,236701 ,清热解毒口服液           ,2   ,56   ,56
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,5   ,140  ,112
1  ,236701 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,6   ,168  ,140
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,24.64
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,2   ,56   ,56
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236701 ,清热解毒口服液           ,1   ,28   ,28
1  ,236702 ,清热解毒口服液           ,7   ,196  ,182
1  ,236702 ,强力VC银翘片           ,1   ,13.8 ,13.8
1  ,236702 ,强力VC银翘片           ,6   ,82.8 ,69
1  ,236702 ,强力VC银翘片           ,1   ,13.8 ,13.8
1  ,236702 ,强力VC银翘片           ,-1  ,-13.8,-13.8
1  ,236702 ,强力VC银翘片           ,1   ,13.8 ,13.8
1  ,236702 ,强力VC银翘片           ,5   ,69   ,55.2
1  ,236702 ,强力VC银翘片           ,1   ,13.8 ,13.8
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,1   ,28   ,
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,2   ,56   ,56
1  ,236703 ,清热解毒口服液           ,1   ,28   ,28
1  ,236703 ,清热解毒口服液           ,2   ,56   ,49.28
1  ,236703 ,三九感冒灵             ,3   ,89.4 ,78.67
1  ,236703 ,三九感冒灵             ,5   ,149  ,130
1  ,236704 ,感康                ,3   ,25.2 ,22.5
1  ,236704 ,三九感冒灵             ,3   ,84   ,73.92
1  ,236704 ,感康                ,3   ,25.2 ,22.5
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,4   ,33.6 ,29.56
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,1   ,8.4  ,7.5
1  ,236704 ,感康                ,3   ,25.2 ,22.17
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,3   ,25.2 ,22.18
1  ,236704 ,感康                ,4   ,33.6 ,30
1  ,236704 ,感康                ,2   ,16.8 ,16.8
1  ,236704 ,感康                ,5   ,42   ,37.5
1  ,236704 ,感康                ,1   ,8.4  ,7.39
1  ,236704 ,感康                ,1   ,8.4  ,7.39
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,2   ,16.8 ,15
1  ,236704 ,感康                ,1   ,8.4  ,7.39
1  ,236704 ,感康                ,3   ,25.2 ,22.18
1  ,236704 ,氨加黄敏胶囊            ,5   ,62   ,55
1  ,236704 ,氨加黄敏胶囊            ,3   ,37.2 ,33
1  ,236704 ,氨加黄敏胶囊            ,-1  ,-12.4,-11
1  ,236704 ,氨加黄敏胶囊            ,2   ,24.8 ,22
1  ,236704 ,氨加黄敏胶囊            ,1   ,12.4 ,11
1  ,236704 ,氨加黄敏胶囊            ,4   ,49.6 ,43.65
1  ,236704 ,氨加黄敏胶囊            ,1   ,12.4 ,10.91
1  ,236704 ,氨加黄敏胶囊            ,2   ,24.8 ,22
1  ,861368 ,氨加黄敏胶囊            ,1   ,12.4 ,10.91
1  ,861368 ,氨加黄敏胶囊            ,1   ,12.4 ,11
1  ,861368 ,氨加黄敏胶囊            ,3   ,37.2 ,33
1  ,861368 ,感康                ,3   ,25.5 ,22.5
1  ,861368 ,感康                ,2   ,17   ,14.96
1  ,861368 ,感康                ,3   ,25.5 ,22.5
1  ,861368 ,感康                ,2   ,17   ,15
1  ,861368 ,感康                ,2   ,19   ,17
1  ,861368 ,感康                ,1   ,9.5  ,8.36
1  ,861368 ,感康                ,2   ,19   ,17
1  ,861368 ,感康                ,6   ,57   ,51
1  ,861368 ,感康                ,1   ,9.5  ,8.5
1  ,861368 ,感康                ,1   ,9.5  ,8.36
1  ,861368 ,感康                ,2   ,19   ,16.72
1  ,861368 ,感康                ,9   ,85.5 ,76.5
