订单号,商品编码   ,商品名称                 ,销售数量,应收金额 ,实收金额
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,5   ,52.5 ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,10.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.24
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.24
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,18.48
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,10  ,105  ,103
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,4   ,42   ,40
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,9.5
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,19
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,0   ,0    ,0
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,1   ,10.5 ,6.8
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
1  ,861507 ,苯磺酸氨氯地平片(安内真)        ,2   ,21   ,13.6
