color          ,director_name                   ,duration,actor_3_facebook_likes,actor_2_name                ,actor_1_facebook_likes,gross    ,genres                                                          ,actor_1_name               ,num_voted_users,actor_3_name                 ,language  ,country             ,content_rating,budget     ,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color          ,Peter Jackson                   ,186     ,773                   ,Adam Brown                  ,5000                  ,258355354,Adventure|Fantasy                                               ,Aidan Turner               ,483540         ,James Nesbitt                ,English   ,USA                 ,PG-13         ,225000000  ,2013      ,972                   ,7.9       ,2.35        ,83000
Color          ,Chris Weitz                     ,113     ,1000                  ,Eva Green                   ,16000                 ,70083519 ,Adventure|Family|Fantasy                                        ,Christopher Lee            ,149019         ,Kristin Scott Thomas         ,English   ,USA                 ,PG-13         ,180000000  ,2007      ,6000                  ,6.1       ,2.35        ,0
Color          ,Peter Jackson                   ,201     ,84                    ,Thomas Kretschmann          ,6000                  ,218051260,Action|Adventure|Drama|Romance                                  ,Naomi Watts                ,316018         ,Evan Parke                   ,English   ,New Zealand         ,PG-13         ,207000000  ,2005      ,919                   ,7.2       ,2.35        ,0
Color          ,James Cameron                   ,194     ,794                   ,Kate Winslet                ,29000                 ,658672302,Drama|Romance                                                   ,Leonardo DiCaprio          ,793059         ,Gloria Stuart                ,English   ,USA                 ,PG-13         ,200000000  ,1997      ,14000                 ,7.7       ,2.35        ,26000
Color          ,Anthony Russo                   ,147     ,11000                 ,Scarlett Johansson          ,21000                 ,407197282,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,272670         ,Chris Evans                  ,English   ,USA                 ,PG-13         ,250000000  ,2016      ,19000                 ,8.2       ,2.35        ,72000
Color          ,Peter Berg                      ,131     ,627                   ,Alexander Skarsgård         ,14000                 ,65173160 ,Action|Adventure|Sci-Fi|Thriller                                ,Liam Neeson                ,202382         ,Tadanobu Asano               ,English   ,USA                 ,PG-13         ,209000000  ,2012      ,10000                 ,5.9       ,2.35        ,44000
Color          ,Colin Trevorrow                 ,124     ,1000                  ,Judy Greer                  ,3000                  ,652177271,Action|Adventure|Sci-Fi|Thriller                                ,Bryce Dallas Howard        ,418214         ,Omar Sy                      ,English   ,USA                 ,PG-13         ,150000000  ,2015      ,2000                  ,7         ,2           ,150000
Color          ,Sam Mendes                      ,143     ,393                   ,Helen McCrory               ,883                   ,304360277,Action|Adventure|Thriller                                       ,Albert Finney              ,522030         ,Rory Kinnear                 ,English   ,UK                  ,PG-13         ,200000000  ,2012      ,563                   ,7.8       ,2.35        ,80000
Color          ,Sam Raimi                       ,135     ,4000                  ,James Franco                ,24000                 ,373377893,Action|Adventure|Fantasy|Romance                                ,J.K. Simmons               ,411164         ,Kirsten Dunst                ,English   ,USA                 ,PG-13         ,200000000  ,2004      ,11000                 ,7.3       ,2.35        ,0
Color          ,Shane Black                     ,195     ,3000                  ,Jon Favreau                 ,21000                 ,408992272,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,557489         ,Don Cheadle                  ,English   ,USA                 ,PG-13         ,200000000  ,2013      ,4000                  ,7.2       ,2.35        ,95000
Color          ,Tim Burton                      ,108     ,11000                 ,Alan Rickman                ,40000                 ,334185206,Adventure|Family|Fantasy                                        ,Johnny Depp                ,306320         ,Anne Hathaway                ,English   ,USA                 ,PG            ,200000000  ,2010      ,25000                 ,6.5       ,1.85        ,24000
Color          ,Brett Ratner                    ,104     ,560                   ,Kelsey Grammer              ,20000                 ,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller                        ,Hugh Jackman               ,383427         ,Daniel Cudmore               ,English   ,Canada              ,PG-13         ,210000000  ,2006      ,808                   ,6.8       ,2.35        ,0
Color          ,Dan Scanlon                     ,104     ,760                   ,Tyler Labine                ,12000                 ,268488329,Adventure|Animation|Comedy|Family|Fantasy                       ,Steve Buscemi              ,235025         ,Sean Hayes                   ,English   ,USA                 ,G             ,200000000  ,2013      ,779                   ,7.3       ,1.85        ,44000
Color          ,Michael Bay                     ,150     ,464                   ,Kevin Dunn                  ,894                   ,402076689,Action|Adventure|Sci-Fi                                         ,Glenn Morshower            ,323207         ,Ramon Rodriguez              ,English   ,USA                 ,PG-13         ,200000000  ,2009      ,581                   ,6         ,2.35        ,0
Color          ,Michael Bay                     ,165     ,808                   ,Sophia Myles                ,974                   ,245428137,Action|Adventure|Sci-Fi                                         ,Bingbing Li                ,242420         ,Kelsey Grammer               ,English   ,USA                 ,PG-13         ,210000000  ,2014      ,956                   ,5.7       ,2.35        ,56000
Color          ,Sam Raimi                       ,130     ,11000                 ,Mila Kunis                  ,44000                 ,234903076,Adventure|Family|Fantasy                                        ,Tim Holmes                 ,175409         ,James Franco                 ,English   ,USA                 ,PG            ,215000000  ,2013      ,15000                 ,6.4       ,2.35        ,60000
Color          ,Marc Webb                       ,142     ,825                   ,Andrew Garfield             ,15000                 ,202853933,Action|Adventure|Fantasy|Sci-Fi                                 ,Emma Stone                 ,321227         ,B.J. Novak                   ,English   ,USA                 ,PG-13         ,200000000  ,2014      ,10000                 ,6.7       ,2.35        ,41000
Color          ,Joseph Kosinski                 ,125     ,1000                  ,Olivia Wilde                ,12000                 ,172051787,Action|Adventure|Sci-Fi                                         ,Jeff Bridges               ,264183         ,James Frain                  ,English   ,USA                 ,PG            ,170000000  ,2010      ,10000                 ,6.8       ,2.35        ,30000
Color          ,John Lasseter                   ,106     ,776                   ,Thomas Kretschmann          ,1000                  ,191450875,Adventure|Animation|Comedy|Family|Sport                         ,Joe Mantegna               ,101178         ,Eddie Izzard                 ,English   ,USA                 ,G             ,200000000  ,2011      ,919                   ,6.3       ,2.35        ,10000
Color          ,Martin Campbell                 ,123     ,326                   ,Temuera Morrison            ,16000                 ,116593191,Action|Adventure|Sci-Fi                                         ,Ryan Reynolds              ,223393         ,Taika Waititi                ,English   ,USA                 ,PG-13         ,200000000  ,2011      ,368                   ,5.6       ,2.35        ,24000
Color          ,Lee Unkrich                     ,103     ,721                   ,John Ratzenberger           ,15000                 ,414984497,Adventure|Animation|Comedy|Family|Fantasy                       ,Tom Hanks                  ,544884         ,Don Rickles                  ,English   ,USA                 ,G             ,200000000  ,2010      ,1000                  ,8.3       ,1.85        ,30000
Color          ,McG                             ,118     ,988                   ,Bryce Dallas Howard         ,23000                 ,125320003,Action|Adventure|Sci-Fi                                         ,Christian Bale             ,286095         ,Common                       ,English   ,USA                 ,PG-13         ,200000000  ,2009      ,3000                  ,6.6       ,2.35        ,0
Color          ,James Wan                       ,140     ,14000                 ,Paul Walker                 ,26000                 ,350034110,Action|Crime|Thriller                                           ,Jason Statham              ,278232         ,Vin Diesel                   ,English   ,USA                 ,PG-13         ,190000000  ,2015      ,23000                 ,7.2       ,2.35        ,94000
Color          ,Marc Forster                    ,123     ,1000                  ,Brad Pitt                   ,17000                 ,202351611,Action|Adventure|Horror|Sci-Fi|Thriller                         ,Peter Capaldi              ,465019         ,Mireille Enos                ,English   ,USA                 ,PG-13         ,190000000  ,2013      ,11000                 ,7         ,2.35        ,129000
Color          ,Bryan Singer                    ,149     ,20000                 ,Peter Dinklage              ,34000                 ,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller                        ,Jennifer Lawrence          ,514125         ,Hugh Jackman                 ,English   ,USA                 ,PG-13         ,200000000  ,2014      ,22000                 ,8         ,2.35        ,82000
Color          ,J.J. Abrams                     ,132     ,928                   ,Bruce Greenwood             ,19000                 ,228756232,Action|Adventure|Sci-Fi                                         ,Benedict Cumberbatch       ,395573         ,Noel Clarke                  ,English   ,USA                 ,PG-13         ,190000000  ,2013      ,981                   ,7.8       ,2.35        ,92000
Color          ,Bryan Singer                    ,114     ,140                   ,Ewen Bremner                ,979                   ,65171860 ,Adventure|Fantasy                                               ,Eddie Marsan               ,106416         ,Ralph Brown                  ,English   ,USA                 ,PG-13         ,195000000  ,2013      ,557                   ,6.3       ,2.35        ,22000
Color          ,Baz Luhrmann                    ,143     ,77                    ,Elizabeth Debicki           ,29000                 ,144812796,Drama|Romance                                                   ,Leonardo DiCaprio          ,362912         ,Steve Bisley                 ,English   ,Australia           ,PG-13         ,105000000  ,2013      ,509                   ,7.3       ,2.35        ,115000
Color          ,Mike Newell                     ,116     ,236                   ,Richard Coyle               ,15000                 ,90755643 ,Action|Adventure|Fantasy|Romance                                ,Jake Gyllenhaal            ,222403         ,Reece Ritchie                ,English   ,USA                 ,PG-13         ,200000000  ,2010      ,567                   ,6.6       ,2.35        ,23000
Color          ,Guillermo del Toro              ,131     ,919                   ,Clifton Collins Jr.         ,16000                 ,101785482,Action|Adventure|Sci-Fi                                         ,Charlie Hunnam             ,381148         ,Larry Joe Campbell           ,English   ,USA                 ,PG-13         ,190000000  ,2013      ,968                   ,7         ,1.85        ,83000
Color          ,Michael Bay                     ,154     ,581                   ,Lester Speight              ,894                   ,352358779,Action|Adventure|Sci-Fi                                         ,Glenn Morshower            ,326180         ,Kevin Dunn                   ,English   ,USA                 ,PG-13         ,195000000  ,2011      ,829                   ,6.3       ,2.35        ,46000
Color          ,Steven Spielberg                ,122     ,1000                  ,Ray Winstone                ,11000                 ,317011114,Action|Adventure|Fantasy                                        ,Harrison Ford              ,333847         ,Jim Broadbent                ,English   ,USA                 ,PG-13         ,185000000  ,2008      ,1000                  ,6.2       ,2.35        ,5000
Color          ,Peter Sohn                      ,93      ,113                   ,Jack McGraw                 ,275                   ,123070338,Adventure|Animation|Comedy|Family|Fantasy                       ,A.J. Buckley               ,62836          ,Peter Sohn                   ,English   ,USA                 ,PG            ,           ,2015      ,150                   ,6.8       ,2.35        ,20000
Color          ,Mark Andrews                    ,93      ,838                   ,John Ratzenberger           ,2000                  ,237282182,Adventure|Animation|Comedy|Family|Fantasy                       ,Kelly Macdonald            ,273556         ,Julie Walters                ,English   ,USA                 ,PG            ,185000000  ,2012      ,1000                  ,7.2       ,2.35        ,39000
Color          ,Justin Lin                      ,122     ,105                   ,Melissa Roxburgh            ,998                   ,130468626,Action|Adventure|Sci-Fi|Thriller                                ,Sofia Boutella             ,53607          ,Lydia Wilson                 ,English   ,USA                 ,PG-13         ,185000000  ,2016      ,119                   ,7.5       ,2.35        ,30000
Color          ,Andrew Stanton                  ,98      ,522                   ,Fred Willard                ,1000                  ,223806889,Adventure|Animation|Family|Sci-Fi                               ,John Ratzenberger          ,718837         ,Jeff Garlin                  ,English   ,USA                 ,G             ,180000000  ,2008      ,729                   ,8.4       ,2.35        ,16000
Color          ,Brett Ratner                    ,91      ,173                   ,Dana Ivey                   ,268                   ,140080850,Action|Comedy|Crime|Thriller                                    ,Tzi Ma                     ,121084         ,Noémie Lenoir                ,English   ,USA                 ,PG-13         ,140000000  ,2007      ,268                   ,6.2       ,2.35        ,0
Color          ,Roland Emmerich                 ,158     ,310                   ,Liam James                  ,1000                  ,166112167,Action|Adventure|Sci-Fi                                         ,Oliver Platt               ,283418         ,Tom McCarthy                 ,English   ,USA                 ,PG-13         ,200000000  ,2009      ,468                   ,5.8       ,2.35        ,13000
Color          ,Robert Zemeckis                 ,96      ,10000                 ,Colin Firth                 ,18000                 ,137850096,Animation|Drama|Family|Fantasy                                  ,Robin Wright               ,72809          ,Gary Oldman                  ,English   ,USA                 ,PG            ,200000000  ,2009      ,14000                 ,6.8       ,2.35        ,0
Color          ,Lana Wachowski                  ,127     ,13000                 ,Mila Kunis                  ,17000                 ,47375327 ,Action|Adventure|Sci-Fi                                         ,Channing Tatum             ,139593         ,Eddie Redmayne               ,English   ,USA                 ,PG-13         ,176000000  ,2015      ,15000                 ,5.4       ,2.35        ,44000
Color          ,David Yates                     ,110     ,103                   ,Alexander Skarsgård         ,11000                 ,124051759,Action|Adventure|Drama|Romance                                  ,Christoph Waltz            ,42372          ,Casper Crump                 ,English   ,USA                 ,PG-13         ,180000000  ,2016      ,10000                 ,6.6       ,2.35        ,29000
Color          ,Andrew Adamson                  ,150     ,82                    ,Kiran Shah                  ,1000                  ,291709845,Adventure|Family|Fantasy                                        ,Jim Broadbent              ,286506         ,Shane Rangi                  ,English   ,USA                 ,PG            ,180000000  ,2005      ,190                   ,6.9       ,2.35        ,0
Color          ,Bryan Singer                    ,144     ,1000                  ,Michael Fassbender          ,34000                 ,154985087,Action|Adventure|Sci-Fi                                         ,Jennifer Lawrence          ,148379         ,Tye Sheridan                 ,English   ,USA                 ,PG-13         ,178000000  ,2016      ,13000                 ,7.3       ,2.35        ,54000
Color          ,Christopher Nolan               ,152     ,11000                 ,Heath Ledger                ,23000                 ,533316061,Action|Crime|Drama|Thriller                                     ,Christian Bale             ,1676169        ,Morgan Freeman               ,English   ,USA                 ,PG-13         ,185000000  ,2008      ,13000                 ,9         ,2.35        ,37000
Color          ,Pete Docter                     ,96      ,262                   ,Delroy Lindo                ,1000                  ,292979556,Adventure|Animation|Comedy|Family                               ,John Ratzenberger          ,665575         ,Jess Harnell                 ,English   ,USA                 ,PG            ,175000000  ,2009      ,848                   ,8.3       ,1.85        ,27000
Color          ,Rob Letterman                   ,94      ,459                   ,Rainn Wilson                ,1000                  ,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi                 ,Amy Poehler                ,114553         ,Stephen Colbert              ,English   ,USA                 ,PG            ,175000000  ,2009      ,973                   ,6.5       ,2.35        ,0
Color          ,Jon Favreau                     ,126     ,4000                  ,Jeff Bridges                ,21000                 ,318298180,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,696338         ,Jon Favreau                  ,English   ,USA                 ,PG-13         ,140000000  ,2008      ,12000                 ,7.9       ,2.35        ,10000
Color          ,Martin Scorsese                 ,126     ,1000                  ,Christopher Lee             ,17000                 ,73820094 ,Adventure|Drama|Family|Mystery                                  ,Chloë Grace Moretz         ,245333         ,Ray Winstone                 ,English   ,USA                 ,PG            ,170000000  ,2011      ,16000                 ,7.5       ,1.85        ,42000
Color          ,Sam Mendes                      ,143     ,393                   ,Helen McCrory               ,883                   ,304360277,Action|Adventure|Thriller                                       ,Albert Finney              ,522030         ,Rory Kinnear                 ,English   ,UK                  ,PG-13         ,200000000  ,2012      ,563                   ,7.8       ,2.35        ,80000
Color          ,Rob Cohen                       ,112     ,595                   ,Brendan Fraser              ,5000                  ,102176165,Action|Adventure|Fantasy|Horror|Thriller                        ,Jet Li                     ,117927         ,Russell Wong                 ,English   ,USA                 ,PG-13         ,145000000  ,2008      ,3000                  ,5.2       ,2.35        ,0
Color          ,David Ayer                      ,123     ,329                   ,Robin Atkin Downes          ,10000                 ,161087183,Action|Adventure|Comedy|Sci-Fi                                  ,Will Smith                 ,118992         ,Ike Barinholtz               ,English   ,USA                 ,PG-13         ,175000000  ,2016      ,336                   ,6.9       ,2.35        ,80000
Color          ,Tom Shadyac                     ,96      ,7000                  ,Morgan Freeman              ,87000                 ,100289690,Comedy|Family|Fantasy                                           ,Jimmy Bennett              ,115099         ,Steve Carell                 ,English   ,USA                 ,PG            ,175000000  ,2007      ,11000                 ,5.4       ,2.35        ,2000
Color          ,Doug Liman                      ,113     ,509                   ,Lara Pulver                 ,10000                 ,100189501,Action|Adventure|Sci-Fi                                         ,Tom Cruise                 ,431620         ,Noah Taylor                  ,English   ,USA                 ,PG-13         ,178000000  ,2014      ,854                   ,7.9       ,2.35        ,77000
Color          ,Kevin Reynolds                  ,176     ,60                    ,Rick Aviles                 ,711                   ,88246220 ,Action|Adventure|Sci-Fi|Thriller                                ,Jeanne Tripplehorn         ,144337         ,Zakes Mokae                  ,English   ,USA                 ,PG-13         ,175000000  ,1995      ,60                    ,6.1       ,1.85        ,0
Color          ,Stephen Sommers                 ,118     ,570                   ,Dennis Quaid                ,23000                 ,150167630,Action|Adventure|Sci-Fi|Thriller                                ,Joseph Gordon-Levitt       ,174578         ,Leo Howard                   ,English   ,USA                 ,PG-13         ,175000000  ,2009      ,2000                  ,5.8       ,2.35        ,0
Color          ,Pete Docter                     ,95      ,384                   ,Mindy Kaling                ,1000                  ,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy                 ,Amy Poehler                ,345198         ,Phyllis Smith                ,English   ,USA                 ,PG            ,175000000  ,2015      ,767                   ,8.3       ,1.85        ,118000
Color          ,Jon Favreau                     ,106     ,591                   ,Bill Murray                 ,19000                 ,362645141,Adventure|Drama|Family|Fantasy                                  ,Scarlett Johansson         ,106072         ,Garry Shandling              ,English   ,UK                  ,PG            ,175000000  ,2016      ,13000                 ,7.8       ,1.85        ,65000
Color          ,Jon Favreau                     ,124     ,4000                  ,Scarlett Johansson          ,21000                 ,312057433,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,522371         ,Jon Favreau                  ,English   ,USA                 ,PG-13         ,200000000  ,2010      ,19000                 ,7         ,2.35        ,18000
Color          ,Rupert Sanders                  ,132     ,11000                 ,Kristen Stewart             ,26000                 ,155111815,Action|Adventure|Drama|Fantasy                                  ,Chris Hemsworth            ,228554         ,Sam Claflin                  ,English   ,USA                 ,PG-13         ,170000000  ,2012      ,17000                 ,6.1       ,2.35        ,53000
Color          ,Robert Stromberg                ,97      ,846                   ,Sharlto Copley              ,11000                 ,241407328,Action|Adventure|Family|Fantasy|Romance                         ,Angelina Jolie Pitt        ,252257         ,Sam Riley                    ,English   ,USA                 ,PG            ,180000000  ,2014      ,2000                  ,7         ,2.35        ,89000
Color          ,Matt Reeves                     ,130     ,884                   ,Judy Greer                  ,10000                 ,208543795,Action|Adventure|Drama|Sci-Fi                                   ,Gary Oldman                ,317542         ,Kodi Smit-McPhee             ,English   ,USA                 ,PG-13         ,170000000  ,2014      ,2000                  ,7.6       ,1.85        ,45000
Color          ,Roland Joffé                    ,109     ,283                   ,Alice Englert               ,622                   ,         ,Action|Adventure|Romance|Sci-Fi                                 ,Tamsin Egerton             ,2138           ,Bipasha Basu                 ,English   ,Belgium             ,R             ,           ,2015      ,525                   ,4.5       ,            ,677
Color          ,Carl Rinsch                     ,128     ,982                   ,Cary-Hiroyuki Tagawa        ,18000                 ,38297305 ,Action|Adventure|Drama|Fantasy                                  ,Keanu Reeves               ,116994         ,Jin Akanishi                 ,English   ,USA                 ,PG-13         ,175000000  ,2013      ,1000                  ,6.3       ,2.35        ,35000
Color          ,Anthony Russo                   ,136     ,2000                  ,Chris Evans                 ,19000                 ,259746958,Action|Adventure|Sci-Fi                                         ,Scarlett Johansson         ,496749         ,Hayley Atwell                ,English   ,USA                 ,PG-13         ,170000000  ,2014      ,11000                 ,7.8       ,2.35        ,55000
Color          ,Mike Mitchell                   ,93      ,213                   ,Kathy Griffin               ,4000                  ,238371987,Adventure|Animation|Comedy|Family|Fantasy                       ,Jon Hamm                   ,138661         ,Mary Kay Place               ,English   ,USA                 ,PG            ,165000000  ,2010      ,225                   ,6.4       ,2.35        ,0
Color          ,Brad Bird                       ,130     ,604                   ,Chris Bauer                 ,2000                  ,93417865 ,Action|Adventure|Family|Mystery|Sci-Fi                          ,Judy Greer                 ,128306         ,Thomas Robinson              ,English   ,USA                 ,PG            ,190000000  ,2015      ,638                   ,6.5       ,2.2         ,37000
Color          ,Don Hall                        ,102     ,562                   ,Daniel Henney               ,756                   ,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi           ,Damon Wayans Jr.           ,279093         ,Abraham Benrubi              ,English   ,USA                 ,PG            ,165000000  ,2014      ,719                   ,7.9       ,2.39        ,41000
Color          ,Rich Moore                      ,101     ,833                   ,Sarah Silverman             ,975                   ,189412677,Adventure|Animation|Comedy|Family|Sci-Fi                        ,Jack McBrayer              ,272534         ,Joe Lo Truglio               ,English   ,USA                 ,PG            ,165000000  ,2012      ,931                   ,7.8       ,2.35        ,40000
Color          ,Robert Zemeckis                 ,100     ,267                   ,Eddie Deezen                ,15000                 ,665426   ,Adventure|Animation|Family|Fantasy                              ,Tom Hanks                  ,120798         ,Peter Scolari                ,English   ,USA                 ,G             ,165000000  ,2004      ,726                   ,6.6       ,2.35        ,10000
Color          ,Roland Emmerich                 ,120     ,535                   ,Sela Ward                   ,890                   ,102315545,Action|Adventure|Sci-Fi                                         ,Vivica A. Fox              ,58137          ,Judd Hirsch                  ,English   ,USA                 ,PG-13         ,165000000  ,2016      ,812                   ,5.5       ,2.35        ,67000
Color          ,Dean DeBlois                    ,98      ,759                   ,America Ferrera             ,18000                 ,217387997,Adventure|Animation|Family|Fantasy                              ,Gerard Butler              ,485430         ,Craig Ferguson               ,English   ,USA                 ,PG            ,165000000  ,2010      ,953                   ,8.2       ,2.35        ,33000
