    ,color          ,director_name                   ,duration,actor_3_facebook_likes,actor_2_name                ,actor_1_facebook_likes,gross      ,genres                                                          ,actor_1_name               ,num_voted_users,actor_3_name                 ,language  ,country             ,content_rating,budget       ,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0   ,Color          ,Peter Jackson                   ,186.0   ,773.0                 ,Adam Brown                  ,5000.0                ,258355354.0,Adventure|Fantasy                                               ,Aidan Turner               ,483540.0       ,James Nesbitt                ,English   ,USA                 ,PG-13         ,225000000.0  ,2013.0    ,972.0                 ,7.9       ,2.35        ,83000.0
1   ,Color          ,Chris Weitz                     ,113.0   ,1000.0                ,Eva Green                   ,16000.0               ,70083519.0 ,Adventure|Family|Fantasy                                        ,Christopher Lee            ,149019.0       ,Kristin Scott Thomas         ,English   ,USA                 ,PG-13         ,180000000.0  ,2007.0    ,6000.0                ,6.1       ,2.35        ,0.0
2   ,Color          ,Peter Jackson                   ,201.0   ,84.0                  ,Thomas Kretschmann          ,6000.0                ,218051260.0,Action|Adventure|Drama|Romance                                  ,Naomi Watts                ,316018.0       ,Evan Parke                   ,English   ,New Zealand         ,PG-13         ,207000000.0  ,2005.0    ,919.0                 ,7.2       ,2.35        ,0.0
3   ,Color          ,James Cameron                   ,194.0   ,794.0                 ,Kate Winslet                ,29000.0               ,658672302.0,Drama|Romance                                                   ,Leonardo DiCaprio          ,793059.0       ,Gloria Stuart                ,English   ,USA                 ,PG-13         ,200000000.0  ,1997.0    ,14000.0               ,7.7       ,2.35        ,26000.0
4   ,Color          ,Anthony Russo                   ,147.0   ,11000.0               ,Scarlett Johansson          ,21000.0               ,407197282.0,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,272670.0       ,Chris Evans                  ,English   ,USA                 ,PG-13         ,250000000.0  ,2016.0    ,19000.0               ,8.2       ,2.35        ,72000.0
5   ,Color          ,Peter Berg                      ,131.0   ,627.0                 ,Alexander Skarsgård         ,14000.0               ,65173160.0 ,Action|Adventure|Sci-Fi|Thriller                                ,Liam Neeson                ,202382.0       ,Tadanobu Asano               ,English   ,USA                 ,PG-13         ,209000000.0  ,2012.0    ,10000.0               ,5.9       ,2.35        ,44000.0
6   ,Color          ,Colin Trevorrow                 ,124.0   ,1000.0                ,Judy Greer                  ,3000.0                ,652177271.0,Action|Adventure|Sci-Fi|Thriller                                ,Bryce Dallas Howard        ,418214.0       ,Omar Sy                      ,English   ,USA                 ,PG-13         ,150000000.0  ,2015.0    ,2000.0                ,7.0       ,2.0         ,150000.0
7   ,Color          ,Sam Mendes                      ,143.0   ,393.0                 ,Helen McCrory               ,883.0                 ,304360277.0,Action|Adventure|Thriller                                       ,Albert Finney              ,522030.0       ,Rory Kinnear                 ,English   ,UK                  ,PG-13         ,200000000.0  ,2012.0    ,563.0                 ,7.8       ,2.35        ,80000.0
8   ,Color          ,Sam Raimi                       ,135.0   ,4000.0                ,James Franco                ,24000.0               ,373377893.0,Action|Adventure|Fantasy|Romance                                ,J.K. Simmons               ,411164.0       ,Kirsten Dunst                ,English   ,USA                 ,PG-13         ,200000000.0  ,2004.0    ,11000.0               ,7.3       ,2.35        ,0.0
9   ,Color          ,Shane Black                     ,195.0   ,3000.0                ,Jon Favreau                 ,21000.0               ,408992272.0,Action|Adventure|Sci-Fi                                         ,Robert Downey Jr.          ,557489.0       ,Don Cheadle                  ,English   ,USA                 ,PG-13         ,200000000.0  ,2013.0    ,4000.0                ,7.2       ,2.35        ,95000.0
